common_name,scientific_name,genus,species,family,stop1,stop2,stop3,stop4,stop5,stop6,stop7,stop8,stop9,stop10,stop11,stop12,stop13,stop14,stop15,stop16,stop17,total_count,observation_year
Rose-breasted Grosbeak,Pheucticus ludovicianus,Pheucticus,ludovicianus,Cardinalidae,0,1,1,1,0,0,0,1,2,1,0,1,0,0,0,1,0,9,2013
Ruby-crowned Kinglet,Regulus calendula,Regulus,calendula,Regulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Ruby-Throated Hummingbird,Archilocus colubris,Archilocus,colubris,Trochilidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Sandhill Crane,Antigone canadensis,Antigone,canadensis,Gruidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Savannah Sparrow,Passerculus sandwichensis,Passerculus,sandwichensis,Emberizidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Scarlet Tanager,Piranga olivacea,Piranga,olivacea,Cardinalidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Sedge Wren,Cistothorus platensis,Cistothorus,platensis,Troglodytidae,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2013
Solitary Sandpiper,Tringa solitaria,Tringa,solitaria,Scolopacidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Song Sparrow,Melospiza melodia,Melospiza,melodia,Emberizidae,2,0,1,1,1,3,1,1,0,0,0,0,0,0,1,0,1,12,2013
Sora,Porzana carolina,Porzana,carolina,Rallidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Spotted Sandpiper,Actitis macularia,Actitis,macularia,Scolopacidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Swainson’s Thrush,Catharus ustulatus,Catharus,ustulatus,Turdidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Swamp Sparrow,Melospiza georgiana,Melospiza,georgiana,Emberizidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Tennesee Warbler,Vermivora peregrina,Vermivora,peregrina,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,5,2013
Tree Swallow,Tachycineta bicolor,Tachycineta,bicolor,Hirundinidae,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2013
Tufted Titmouse,Baeolophus bicolor,Baeolophus,bicolor,Paridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Turkey Vulture,Cathartes aura,Cathartes,aura,Cathartidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Veery,Catharus fuscescens,Catharus,fuscescens,Turdidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Vesper Sparrow,Pooecetes gramineus,Pooecetes,gramineus,Emberizidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Warbling Vireo,Vireo gilvus,Vireo,gilvus,Vireonidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
White-breasted Nuthatch,Sitta carolinensis,Sitta,carolinensis,Sittidae,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,5,2013
White-Crowned Sparrow,Zonotrichia leucophrys,Zonotrichia,leucophrys,Emberizidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
White-throated Sparrow,Zonotrichia albicollis,Zonotrichia,albicollis,Emberizidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Wild Turkey,Meleagris gallopavo,Meleagris,gallopavo,Phasianidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Willow Flycatcher,Empidonax traillii,Empidonax,traillii,Tyrannidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Wilson's Warbler,Wilsonia pusilla,Wilsonia,pusilla,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Wood Duck,Aix sponsa,Aix,sponsa,Anatidae,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,4,2013
Wood Thrush,Hylocichla mustelina,Hylocichla,mustelina,Turdidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Yellow Warbler,Dendroica petechia,Dendroica,petechia,Parulidae,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,2013
Yellow-bellied Flycatcher,Empidonax flaviventris,Empidonax,flaviventris,Tyrannidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Yellow-bellied Sapsucker,Sphyrapicus varius,Sphyrapicus,varius,Picidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Xanthocephalus,xanthocephalus,Icteridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Yellow-rumped Warbler,Dendroica coronata,Dendroica,coronata,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Yellow-throated Vireo,Vireo flavifrons,Vireo,flavifrons,Vireonidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
number of species per stop,,,,,12,10,11,12,13,14,11,11,7,10,7,8,7,8,13,11,9,0,2013
number of birds counted per stop,,,,,22,13,15,18,24,26,21,18,14,14,10,10,7,11,13,14,13,263,2013
